,Airport_ID,Name,lat,lon,country,continent,IATA,ICAO,Altitude,cluster_coefficient,degree
208,210,Houari Boumediene Airport,36.691001892089844,3.215409994125366,Algeria,Africa,ALG,DAAG,82,0.2478238607270865,168.0
209,211,Djanet Inedbirene Airport,24.292800903299998,9.45244026184,Algeria,Africa,DJG,DAAJ,3176,0.6666666666666666,3.0
210,212,Boufarik Airport,36.545799,2.8761099999999997,Algeria,Africa,QFD,DAAK,335,,
211,213,Reggane Airport,26.710100173950195,0.2856470048427582,Algeria,Africa,\N,DAAN,955,,
212,214,Illizi Takhamalt Airport,26.7234992981,8.62265014648,Algeria,Africa,VVZ,DAAP,1778,,
213,215,Ain Oussera Airport,35.52539825439453,2.8787100315093994,Algeria,Africa,\N,DAAQ,2132,,
214,216,Aguenar – Hadj Bey Akhamok Airport,22.8115005493,5.45107984543,Algeria,Africa,TMR,DAAT,4518,0.3,8.0
215,217,Jijel Ferhat Abbas Airport,36.7951011658,5.873610019680001,Algeria,Africa,GJL,DAAV,36,,
216,218,Mecheria Airport,33.535900116,-0.242353007197,Algeria,Africa,\N,DAAY,3855,,
217,219,Relizane Airport,35.752201080322266,0.6262720227241516,Algeria,Africa,\N,DAAZ,282,,
218,220,Annaba Airport,36.82220077514648,7.8091697692871085,Algeria,Africa,AAE,DABB,16,0.9047619047619048,18.0
219,221,Mohamed Boudiaf International Airport,36.2760009765625,6.620389938354492,Algeria,Africa,CZL,DABC,2265,0.5454545454545454,28.0
220,222,Cheikh Larbi Tébessi Airport,35.4315986633,8.120719909670001,Algeria,Africa,TEE,DABS,2661,0.0,2.0
221,224,Hassi R'Mel Airport,32.93040084838867,3.311539888381958,Algeria,Africa,HRM,DAFH,2540,1.0,4.0
222,225,Bou Chekif Airport,35.3410987854,1.4631500244100002,Algeria,Africa,TID,DAOB,3245,1.0,3.0
223,226,Bou Sfer Airport,35.73540115356445,-0.8053889870643616,Algeria,Africa,\N,DAOE,187,,
224,227,Tindouf Airport,27.700399398800002,-8.167099952700001,Algeria,Africa,TIN,DAOF,1453,,
225,228,Ech Cheliff Airport,36.212699890100005,1.33176994324,Algeria,Africa,QAS,DAOI,463,,
226,229,Tafaraoui Airport,35.54240036010742,-0.5322780013084412,Algeria,Africa,TAF,DAOL,367,,
227,230,Zenata – Messali El Hadj Airport,35.0167007446,-1.4500000476800001,Algeria,Africa,TLM,DAON,814,1.0,12.0
228,231,Es Senia Airport,35.6239013672,-0.6211829781529999,Algeria,Africa,ORN,DAOO,295,0.4150197628458498,66.0
229,232,Sidi Bel Abbes Airport,35.1717987061,-0.593275010586,Algeria,Africa,\N,DAOS,1614,,
230,233,Ghriss Airport,35.207698822021484,0.14714199304580688,Algeria,Africa,MUW,DAOV,1686,1.0,3.0
231,234,Touat Cheikh Sidi Mohamed Belkebir Airport,27.83760070800781,-0.1864140033721924,Algeria,Africa,AZR,DAUA,919,0.4,11.0
232,235,Biskra Airport,34.793300628699996,5.73823022842,Algeria,Africa,BSK,DAUB,289,1.0,8.0
233,236,El Golea Airport,30.5713005065918,2.8595900535583496,Algeria,Africa,ELG,DAUE,1306,0.0,4.0
234,237,Noumérat - Moufdi Zakaria Airport,32.38410186767578,3.7941100597381587,Algeria,Africa,GHA,DAUG,1512,0.6666666666666666,8.0
235,238,Oued Irara Airport,31.673000335700003,6.140439987180001,Algeria,Africa,HME,DAUH,463,0.3333333333333333,12.0
236,239,In Salah Airport,27.2509994507,2.51202011108,Algeria,Africa,INZ,DAUI,896,0.6666666666666666,5.0
